split,relative_stem,class_id,class_name,box_width,box_height,box_area
train,frame_00007081,0,soldier,0.10967,0.214286,0.023500745620000003
train,frame_00007281,0,soldier,0.024219,0.043056,0.001042773264
train,frame_00007281,0,soldier,0.01875,0.033333,0.00062499375
train,frame_00007281,0,soldier,0.022656,0.034722,0.000786661632
train,frame_00007281,0,soldier,0.015625,0.047222,0.00073784375
train,frame_00007281,0,soldier,0.01875,0.036111,0.0006770812499999999
train,frame_00007281,0,soldier,0.022656,0.055556,0.001258676736
train,frame_00007281,0,soldier,0.020313,0.040278,0.0008181670140000001
train,frame_00007281,0,soldier,0.021094,0.041667,0.0008789236980000001
train,frame_00007281,0,soldier,0.021094,0.044444,0.000937501736
train,frame_00007281,0,soldier,0.01875,0.034722,0.0006510375
train,frame_00007281,0,soldier,0.019531,0.041667,0.0008137981770000001
train,frame_00007281,0,soldier,0.020313,0.05,0.00101565
train,frame_00007281,0,soldier,0.016406,0.038889,0.000638012934
train,frame_00007281,0,soldier,0.017969,0.036111,0.0006488785589999999
train,frame_00007281,0,soldier,0.021094,0.044444,0.000937501736
train,frame_00007281,0,soldier,0.025,0.048611,0.001215275
train,frame_00007281,0,soldier,0.016406,0.038889,0.000638012934
train,frame_00007281,0,soldier,0.015625,0.038889,0.000607640625
train,frame_00007281,0,soldier,0.009375,0.033333,0.000312496875
train,frame_00007281,0,soldier,0.010156,0.034722,0.00035263663200000005
train,frame_00007281,0,soldier,0.010937,0.036111,0.000394946007
train,frame_00007281,0,soldier,0.0125,0.0375,0.00046875
train,frame_00007281,0,soldier,0.0125,0.038889,0.00048611250000000003
train,frame_00007281,0,soldier,0.016406,0.048611,0.0007975120660000001
train,frame_00007391,0,soldier,0.689453,0.379688,0.261777030664
train,frame_00007429,2,fire,0.08125,0.130682,0.0106179125
train,frame_00007440,2,fire,0.046875,0.096591,0.004527703125
train,frame_00007440,2,fire,0.060937,0.264205,0.016099860085
train,frame_00007440,2,fire,0.051562,0.267045,0.013769374289999997
train,frame_00007440,1,vehicle,0.098437,0.073864,0.0072709505679999994
train,frame_00007440,1,vehicle,0.071875,0.059659,0.004287990624999999
train,frame_00007511,0,soldier,0.213542,0.412037,0.087987205054
train,frame_00007861,0,soldier,0.045312,0.090485,0.00410005632
train,frame_00007862,0,soldier,0.058854,0.088619,0.005215582626
train,frame_00007890,0,soldier,0.688021,0.725746,0.499328488666
train,frame_00008039,0,soldier,0.234375,0.574627,0.134678203125
train,frame_00008448,0,soldier,0.207813,0.929054,0.193069498902
train,frame_00008448,0,soldier,0.104688,0.503378,0.052697636064
train,frame_00008448,0,soldier,0.336719,0.579392,0.195092294848
train,frame_00008690,1,vehicle,0.038281,0.086149,0.003297869869
train,frame_00008690,1,vehicle,0.058594,0.094595,0.00554269943
train,frame_00008765,1,vehicle,0.011719,0.030405,0.000356316195
train,frame_00008765,1,vehicle,0.011719,0.032095,0.000376121305
train,frame_00008765,1,vehicle,0.014063,0.035473,0.000498856799
train,frame_00008765,1,vehicle,0.015625,0.030405,0.000475078125
train,frame_00008880,2,fire,0.0125,0.027027,0.0003378375
train,frame_00009111,1,vehicle,0.010937,0.023649,0.000258649113
train,frame_00009111,1,vehicle,0.007031,0.016892,0.000118767652
train,frame_00009111,1,vehicle,0.010156,0.02027,0.00020586212
train,frame_00009111,1,vehicle,0.011719,0.018581,0.000217750739
train,frame_00009111,1,vehicle,0.011719,0.023649,0.000277142631
train,frame_00009223,0,soldier,0.184375,0.628378,0.11585719375
train,frame_00009223,0,soldier,0.18125,0.689189,0.12491550625
train,frame_00009223,0,soldier,0.166406,0.633446,0.10540921507599998
train,frame_00009223,0,soldier,0.150781,0.814189,0.122764231609
train,frame_00009841,1,vehicle,0.017188,0.035473,0.0006097099239999999
train,frame_00009841,1,vehicle,0.014844,0.038851,0.0005767042439999999
train,frame_00009900,1,vehicle,0.03125,0.043919,0.00137246875
train,frame_00009900,1,vehicle,0.032031,0.055743,0.001785504033
train,frame_00009900,1,vehicle,0.03125,0.050676,0.001583625
train,frame_00010396,0,soldier,0.310156,0.748311,0.23209314651599997
train,frame_00010396,0,soldier,0.247656,0.939189,0.232595790984
train,frame_00010475,1,vehicle,0.019531,0.021959,0.000428881229
train,frame_00010475,1,vehicle,0.017969,0.032095,0.0005767150549999999
train,frame_00010841,0,soldier,0.075781,0.066667,0.005052091927
train,frame_00010882,2,fire,0.278906,0.536111,0.149524574566
train,frame_00010925,2,fire,0.025781,0.056944,0.0014680732639999999
train,frame_00011355,0,soldier,0.285156,0.4,0.11406240000000001
train,frame_00011398,0,soldier,0.467969,0.644444,0.301579814236
train,frame_00011405,0,soldier,0.161719,0.431944,0.069853551736
train,frame_00011540,0,soldier,0.065625,0.090278,0.00592449375
train,frame_00011549,0,soldier,0.151562,0.144444,0.021892221527999998
train,frame_00011635,0,soldier,0.632031,0.8875,0.5609275125
train,frame_00011804,0,soldier,0.095312,0.115278,0.010987376736
train,frame_00011911,0,soldier,0.0625,0.1875,0.01171875
train,frame_00011996,1,vehicle,0.021875,0.038889,0.0008506968749999999
train,frame_00011996,1,vehicle,0.020313,0.033333,0.0006770932290000001
train,frame_00011996,2,fire,0.0125,0.026389,0.0003298625
train,frame_00012481,1,vehicle,0.197656,0.531944,0.10514192326399999
train,frame_00012559,1,vehicle,0.199219,0.6375,0.1270021125
train,frame_00012609,1,vehicle,0.505469,0.486111,0.245714041059
train,frame_00012609,1,vehicle,0.226562,0.244444,0.055381721528
train,frame_00012770,1,vehicle,0.226562,0.305556,0.069227378472
train,frame_00012920,1,vehicle,0.271094,0.656944,0.178093576736
train,frame_00012938,2,fire,0.072656,0.152778,0.011100238368
train,frame_00012938,2,fire,0.289062,0.513889,0.148545782118
train,frame_00013064,0,soldier,0.089623,0.335498,0.030068337254
train,frame_00013156,2,fire,0.38125,0.583333,0.22239570625
train,frame_00013156,2,fire,0.185938,0.194444,0.036154528472
train,frame_00013160,2,fire,0.194531,0.294444,0.057278485764
train,frame_00013163,2,fire,0.3,0.327778,0.0983334
train,frame_00013244,0,soldier,0.202344,0.137784,0.027879765695999998
train,frame_00013244,1,vehicle,0.840625,0.485795,0.408371421875
train,frame_00013244,0,soldier,0.189062,0.159091,0.030078062642000004
train,frame_00013807,0,soldier,0.026562,0.043056,0.001143653472
train,frame_00014295,0,soldier,0.4,0.44403,0.177612
train,frame_00014295,0,soldier,0.553646,0.30597,0.16939906662
train,frame_00014349,2,fire,0.134896,0.18097,0.024412129119999997
train,frame_00014349,0,soldier,0.423958,0.334888,0.141978446704
train,frame_00014435,0,soldier,0.280208,0.541045,0.15160513736
train,frame_00014435,0,soldier,0.146875,0.484142,0.07110835625
train,frame_00014445,0,soldier,0.28125,0.780784,0.2195955
train,frame_00014473,0,soldier,0.071875,0.149254,0.01072763125
train,frame_00014473,0,soldier,0.06875,0.068097,0.00468166875
train,frame_00014536,0,soldier,0.314583,0.593284,0.18663706057200002
train,frame_00014536,0,soldier,0.170313,0.459888,0.078324904944
train,frame_00014766,2,fire,0.205469,0.501389,0.103019896441
train,frame_00014766,1,vehicle,0.128906,0.330556,0.042610651735999996
train,frame_00014803,2,fire,0.325,0.538889,0.175138925
train,frame_00014832,2,fire,0.047656,0.058333,0.0027799174479999997
train,frame_00015125,2,fire,0.028125,0.0375,0.0010546875
train,frame_00015125,2,fire,0.030469,0.044444,0.0013541642359999999
train,frame_00015518,1,vehicle,0.094531,0.191667,0.018118473177
train,frame_00015540,1,vehicle,0.1375,0.191667,0.0263542125
train,frame_00015792,2,fire,0.2125,0.085156,0.018095649999999998
train,frame_00015792,2,fire,0.058333,0.019531,0.001139301823
train,frame_00015824,0,soldier,0.207813,0.369382,0.076762381566
train,frame_00015933,0,soldier,0.332031,0.426389,0.141574366059
train,frame_00016222,0,soldier,0.20625,0.805556,0.166145925
train,frame_00016222,0,soldier,0.049479,0.200926,0.009941617554
train,frame_00016433,2,fire,0.030469,0.048611,0.0014811285590000001
train,frame_00016483,2,fire,0.116406,0.240278,0.027969800867999998
train,frame_00016528,2,fire,0.135937,0.181944,0.024732921528
train,frame_00016584,1,vehicle,0.050781,0.073611,0.003738040191
train,frame_00016584,2,fire,0.44375,0.254167,0.11278660624999999
train,frame_00016776,2,fire,0.064062,0.18097,0.011593300139999999
train,frame_00017007,2,fire,0.410938,0.602778,0.24770438576400003
train,frame_00017205,0,soldier,0.041406,0.174716,0.007234290696
train,frame_00017220,0,soldier,0.057031,0.09517,0.00542764027
train,frame_00017415,0,soldier,0.019271,0.089552,0.0017257565920000002
train,frame_00017415,0,soldier,0.022917,0.092351,0.002116407867
train,frame_00017468,0,soldier,0.031771,0.085821,0.002726618991
train,frame_00017468,0,soldier,0.022396,0.064366,0.001441540936
train,frame_00017468,0,soldier,0.051562,0.061567,0.0031745176539999995
train,frame_00017468,0,soldier,0.017188,0.07556,0.0012987252799999999
train,frame_00017468,0,soldier,0.01875,0.070896,0.0013293
train,frame_00017469,0,soldier,0.023438,0.070896,0.001661660448
train,frame_00017469,0,soldier,0.023438,0.074627,0.001749107626
train,frame_00017469,0,soldier,0.025521,0.073694,0.0018807445739999998
train,frame_00017469,0,soldier,0.027083,0.083955,0.002273753265
