split,relative_stem,class_id,class_name,box_width,box_height,box_area
train,frame_00007081,1,soldier,0.10967,0.214286,0.023500745620000003
train,frame_00007281,1,soldier,0.024219,0.043056,0.001042773264
train,frame_00007281,1,soldier,0.01875,0.033333,0.00062499375
train,frame_00007281,1,soldier,0.022656,0.034722,0.000786661632
train,frame_00007281,1,soldier,0.015625,0.047222,0.00073784375
train,frame_00007281,1,soldier,0.01875,0.036111,0.0006770812499999999
train,frame_00007281,1,soldier,0.022656,0.055556,0.001258676736
train,frame_00007281,1,soldier,0.020313,0.040278,0.0008181670140000001
train,frame_00007281,1,soldier,0.021094,0.041667,0.0008789236980000001
train,frame_00007281,1,soldier,0.021094,0.044444,0.000937501736
train,frame_00007281,1,soldier,0.01875,0.034722,0.0006510375
train,frame_00007281,1,soldier,0.019531,0.041667,0.0008137981770000001
train,frame_00007281,1,soldier,0.020313,0.05,0.00101565
train,frame_00007281,1,soldier,0.016406,0.038889,0.000638012934
train,frame_00007281,1,soldier,0.017969,0.036111,0.0006488785589999999
train,frame_00007281,1,soldier,0.021094,0.044444,0.000937501736
train,frame_00007281,1,soldier,0.025,0.048611,0.001215275
train,frame_00007281,1,soldier,0.016406,0.038889,0.000638012934
train,frame_00007281,1,soldier,0.015625,0.038889,0.000607640625
train,frame_00007281,1,soldier,0.009375,0.033333,0.000312496875
train,frame_00007281,1,soldier,0.010156,0.034722,0.00035263663200000005
train,frame_00007281,1,soldier,0.010937,0.036111,0.000394946007
train,frame_00007281,1,soldier,0.0125,0.0375,0.00046875
train,frame_00007281,1,soldier,0.0125,0.038889,0.00048611250000000003
train,frame_00007281,1,soldier,0.016406,0.048611,0.0007975120660000001
train,frame_00007391,1,soldier,0.689453,0.379688,0.261777030664
train,frame_00007440,0,vehicle,0.098437,0.073864,0.0072709505679999994
train,frame_00007440,0,vehicle,0.071875,0.059659,0.004287990624999999
train,frame_00007511,1,soldier,0.213542,0.412037,0.087987205054
train,frame_00007861,1,soldier,0.045312,0.090485,0.00410005632
train,frame_00007862,1,soldier,0.058854,0.088619,0.005215582626
train,frame_00007890,1,soldier,0.688021,0.725746,0.499328488666
train,frame_00008039,1,soldier,0.234375,0.574627,0.134678203125
train,frame_00008448,1,soldier,0.207813,0.929054,0.193069498902
train,frame_00008448,1,soldier,0.104688,0.503378,0.052697636064
train,frame_00008448,1,soldier,0.336719,0.579392,0.195092294848
train,frame_00008690,0,vehicle,0.038281,0.086149,0.003297869869
train,frame_00008690,0,vehicle,0.058594,0.094595,0.00554269943
train,frame_00008765,0,vehicle,0.011719,0.030405,0.000356316195
train,frame_00008765,0,vehicle,0.011719,0.032095,0.000376121305
train,frame_00008765,0,vehicle,0.014063,0.035473,0.000498856799
train,frame_00008765,0,vehicle,0.015625,0.030405,0.000475078125
train,frame_00009111,0,vehicle,0.010937,0.023649,0.000258649113
train,frame_00009111,0,vehicle,0.007031,0.016892,0.000118767652
train,frame_00009111,0,vehicle,0.010156,0.02027,0.00020586212
train,frame_00009111,0,vehicle,0.011719,0.018581,0.000217750739
train,frame_00009111,0,vehicle,0.011719,0.023649,0.000277142631
