epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9672,2.18955,3.48841,2.00722,0.11996,0.12998,0.06761,0.02811,2.5354,5.44863,2.42261,0.00033033,0.00033033,0.0672973
2,28.0842,2.17252,2.95052,2.01722,0.42115,0.10076,0.07886,0.03197,2.49676,4.20935,2.47676,0.000663502,0.000663502,0.0342971
3,42.1827,2.1969,2.96462,2.04385,0.09368,0.12451,0.04956,0.01862,2.54272,4.41427,2.57012,0.000996023,0.000996023,0.00129632
4,55.3636,2.21574,2.90509,2.07324,0.17304,0.14365,0.08024,0.02683,2.51592,3.66309,2.42205,0.000997803,0.000997803,0.000997803
5,68.8504,2.20269,2.85678,2.05917,0.17413,0.14619,0.0874,0.03394,2.35883,3.6042,2.31468,0.000996097,0.000996097,0.000996097
6,83.024,2.1319,2.78528,1.98557,0.27924,0.12859,0.0889,0.02882,2.32659,3.89679,2.14402,0.000993906,0.000993906,0.000993906
7,96.3253,2.14185,2.68398,1.98705,0.10509,0.19784,0.08139,0.02855,2.42011,3.54957,2.17053,0.000991232,0.000991232,0.000991232
8,109.598,2.04854,2.58921,1.89422,0.3637,0.13636,0.09638,0.03603,2.21469,3.34904,2.05836,0.000988079,0.000988079,0.000988079
9,123.463,2.05603,2.64984,1.94324,0.24254,0.15032,0.12212,0.04437,2.25278,2.93731,2.18408,0.000984449,0.000984449,0.000984449
10,137.63,2.05915,2.55277,1.87873,0.29935,0.19111,0.14933,0.05145,2.21288,2.9409,2.05274,0.000980345,0.000980345,0.000980345
11,151.473,2.01207,2.52693,1.88068,0.39499,0.16678,0.13556,0.05111,2.3032,3.02349,2.14343,0.000975773,0.000975773,0.000975773
12,164.978,1.97896,2.4871,1.85954,0.26104,0.18127,0.12781,0.04913,2.20826,2.99795,2.05735,0.000970736,0.000970736,0.000970736
13,178.36,1.99342,2.43924,1.84129,0.24363,0.17888,0.12266,0.04569,2.23686,2.86468,2.11765,0.000965239,0.000965239,0.000965239
14,191.775,1.95456,2.47294,1.82717,0.216,0.16374,0.14035,0.05507,2.12012,2.78021,1.98054,0.000959289,0.000959289,0.000959289
15,205.859,1.95065,2.38698,1.79175,0.22681,0.20032,0.1174,0.05034,2.23941,3.13416,2.00578,0.000952889,0.000952889,0.000952889
16,219.368,1.96424,2.36598,1.82316,0.25692,0.2173,0.15474,0.05929,2.21923,2.80932,2.05649,0.000946048,0.000946048,0.000946048
17,233.371,1.90541,2.25121,1.77227,0.31999,0.19776,0.17451,0.07293,2.20623,2.6862,2.03375,0.000938772,0.000938772,0.000938772
18,247.252,1.90451,2.28449,1.80725,0.19596,0.25693,0.15157,0.05767,2.20111,2.86744,1.99859,0.000931067,0.000931067,0.000931067
19,260.675,1.89669,2.22374,1.78256,0.23885,0.28168,0.17657,0.06499,2.28781,2.51974,2.12166,0.000922942,0.000922942,0.000922942
20,276.168,1.88408,2.18851,1.77659,0.2566,0.22228,0.15843,0.05364,2.2788,2.78571,2.07861,0.000914405,0.000914405,0.000914405
21,289.602,1.89248,2.1635,1.78028,0.28715,0.2076,0.17233,0.06428,2.23839,2.75294,2.05831,0.000905463,0.000905463,0.000905463
22,303.098,1.83921,2.07471,1.74715,0.26479,0.2157,0.17185,0.0645,2.23042,2.65393,2.09035,0.000896127,0.000896127,0.000896127
23,316.512,1.86248,2.12052,1.73833,0.30612,0.1955,0.16028,0.05948,2.25647,3.03626,2.13427,0.000886404,0.000886404,0.000886404
24,330.092,1.83725,2.07187,1.73798,0.37899,0.19513,0.21122,0.07428,2.24323,2.71938,2.06586,0.000876305,0.000876305,0.000876305
25,344.361,1.82114,2.00679,1.70797,0.22282,0.24717,0.17723,0.07466,2.15099,2.60155,1.99984,0.000865839,0.000865839,0.000865839
26,377.121,1.79905,1.98266,1.69869,0.22317,0.28974,0.19881,0.07873,2.17741,2.58762,2.01543,0.000855018,0.000855018,0.000855018
27,390.784,1.81709,1.94304,1.7019,0.28496,0.29892,0.18554,0.08029,2.16722,2.6771,2.03762,0.000843851,0.000843851,0.000843851
28,404.464,1.7657,1.89009,1.67754,0.40394,0.19838,0.20391,0.09139,2.21654,2.71096,2.09278,0.000832349,0.000832349,0.000832349
29,418.025,1.78223,1.9414,1.67552,0.37403,0.22907,0.1976,0.08309,2.24491,2.64067,2.07182,0.000820525,0.000820525,0.000820525
30,431.295,1.72797,1.91094,1.66539,0.22632,0.26199,0.19566,0.08181,2.15866,2.57987,2.01793,0.000808389,0.000808389,0.000808389
31,444.518,1.76311,1.89595,1.68199,0.22313,0.26151,0.18884,0.0833,2.16302,2.63388,2.09176,0.000795954,0.000795954,0.000795954
32,457.951,1.70679,1.77792,1.63008,0.49366,0.19369,0.23282,0.10075,2.17939,2.4824,2.04007,0.000783231,0.000783231,0.000783231
33,471.65,1.72828,1.87132,1.66272,0.31071,0.23661,0.21385,0.08519,2.25395,2.5247,2.05129,0.000770234,0.000770234,0.000770234
34,485.189,1.68898,1.75071,1.61717,0.26305,0.2506,0.2081,0.08954,2.14233,2.66373,2.02728,0.000756976,0.000756976,0.000756976
35,498.496,1.66106,1.6866,1.5916,0.38604,0.25629,0.25976,0.10901,2.21404,2.52757,2.08855,0.000743468,0.000743468,0.000743468
36,512.5,1.68214,1.68329,1.60419,0.35153,0.27262,0.24064,0.10076,2.22997,2.44294,2.11977,0.000729725,0.000729725,0.000729725
37,525.78,1.62487,1.62513,1.59353,0.32197,0.23439,0.22189,0.09531,2.20461,2.45749,2.0907,0.000715761,0.000715761,0.000715761
38,539.13,1.62726,1.61436,1.57356,0.31025,0.31055,0.24742,0.11307,2.16883,2.48051,2.0564,0.000701588,0.000701588,0.000701588
39,553.178,1.63456,1.60878,1.56145,0.2403,0.26953,0.21271,0.09241,2.15785,2.51013,2.01376,0.000687222,0.000687222,0.000687222
40,566.656,1.59831,1.5866,1.54964,0.30093,0.26406,0.22675,0.09368,2.23138,2.41548,2.07725,0.000672675,0.000672675,0.000672675
41,580.118,1.57744,1.55906,1.53881,0.3724,0.30166,0.22032,0.0869,2.20518,2.60924,2.0413,0.000657963,0.000657963,0.000657963
42,593.531,1.58737,1.52232,1.53199,0.28981,0.30479,0.24219,0.1063,2.23661,2.43817,2.06917,0.000643101,0.000643101,0.000643101
43,606.917,1.55616,1.47324,1.51402,0.26026,0.30168,0.21634,0.08637,2.18345,2.56063,2.05629,0.000628101,0.000628101,0.000628101
44,620.278,1.53888,1.45227,1.49594,0.30656,0.27619,0.25591,0.10631,2.23147,2.36612,2.08559,0.000612981,0.000612981,0.000612981
45,633.811,1.53007,1.4547,1.49322,0.42302,0.25874,0.24499,0.10277,2.21328,2.61195,2.05375,0.000597754,0.000597754,0.000597754
46,647.156,1.49734,1.40637,1.47914,0.33751,0.26382,0.23318,0.09452,2.24894,2.41969,2.13601,0.000582435,0.000582435,0.000582435
47,660.354,1.50993,1.4253,1.49242,0.3824,0.23307,0.22717,0.09331,2.29862,2.52955,2.18732,0.00056704,0.00056704,0.00056704
48,673.526,1.49423,1.39559,1.46616,0.30985,0.24291,0.21463,0.10011,2.16982,2.54567,2.11133,0.000551584,0.000551584,0.000551584
49,686.892,1.47413,1.33665,1.47064,0.37741,0.2731,0.25256,0.10075,2.19416,2.40847,2.09715,0.000536081,0.000536081,0.000536081
50,700.365,1.42139,1.2943,1.44941,0.45972,0.25175,0.26335,0.11338,2.25617,2.40292,2.12133,0.000520548,0.000520548,0.000520548
51,714.209,1.42898,1.28781,1.42384,0.32121,0.25735,0.21714,0.10163,2.2034,2.5875,2.12837,0.000505,0.000505,0.000505
52,727.593,1.42129,1.27135,1.43307,0.3813,0.23496,0.23803,0.10096,2.18493,2.56884,2.08869,0.000489452,0.000489452,0.000489452
53,741.04,1.4001,1.21351,1.40159,0.36894,0.29932,0.28552,0.11397,2.16827,2.33962,2.0766,0.000473919,0.000473919,0.000473919
54,754.698,1.38977,1.21975,1.39033,0.34567,0.26839,0.24882,0.10559,2.25526,2.56243,2.12194,0.000458416,0.000458416,0.000458416
55,767.986,1.38366,1.21654,1.39956,0.47025,0.19223,0.22667,0.09455,2.22818,2.57856,2.11462,0.00044296,0.00044296,0.00044296
56,781.248,1.38001,1.18667,1.40603,0.51688,0.17625,0.21052,0.0879,2.28224,2.64427,2.16882,0.000427565,0.000427565,0.000427565
57,794.747,1.34225,1.14662,1.36385,0.33975,0.27664,0.23369,0.10482,2.19566,2.51875,2.11927,0.000412246,0.000412246,0.000412246
58,807.915,1.30677,1.11657,1.35215,0.3583,0.24536,0.24642,0.10422,2.23949,2.54363,2.13963,0.000397019,0.000397019,0.000397019
