epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5234,2.13276,4.36711,2.02488,0.11829,0.08992,0.05356,0.02242,2.3357,3.98094,2.53907,9.86842e-05,9.86842e-05,0.0672039
2,43.2139,1.96374,2.50228,1.90663,0.285,0.23657,0.17709,0.07072,2.22554,2.76092,2.05485,0.000198672,0.000198672,0.0339706
3,61.4996,1.96662,2.26259,1.87652,0.23728,0.2022,0.1836,0.0804,2.16152,2.68757,1.97358,0.000298611,0.000298611,0.000737208
4,78.9345,1.9141,2.15399,1.79446,0.29798,0.24658,0.19589,0.08329,2.23728,2.40598,2.05298,0.000299835,0.000299835,0.000299835
5,96.2393,1.89526,2.06989,1.79897,0.28685,0.32994,0.23743,0.09334,2.16995,2.28432,2.03463,0.000299707,0.000299707,0.000299707
6,113.514,1.83773,1.98971,1.72188,0.37874,0.31628,0.27475,0.11016,2.13992,2.42972,2.04516,0.000299542,0.000299542,0.000299542
7,130.703,1.80933,1.95443,1.76414,0.38479,0.28478,0.28387,0.1136,2.10775,2.64549,1.98778,0.000299341,0.000299341,0.000299341
8,148.142,1.76661,1.89981,1.73017,0.34136,0.29213,0.24739,0.10965,2.1024,2.75889,1.97737,0.000299103,0.000299103,0.000299103
9,165.001,1.77523,1.78342,1.71401,0.43378,0.25937,0.2436,0.10091,2.16715,2.42285,1.99328,0.000298829,0.000298829,0.000298829
10,181.998,1.73479,1.73697,1.70209,0.54669,0.25392,0.29014,0.11149,2.07722,2.48468,2.02341,0.000298519,0.000298519,0.000298519
11,198.755,1.74108,1.68956,1.6825,0.32806,0.36597,0.26698,0.11324,2.11889,2.34108,1.99385,0.000298172,0.000298172,0.000298172
12,216.075,1.69368,1.65285,1.61877,0.39222,0.27965,0.30581,0.12592,2.1354,2.45814,2.05785,0.000297789,0.000297789,0.000297789
13,233.146,1.70039,1.65534,1.64784,0.54471,0.29329,0.32625,0.12821,2.13202,2.5452,1.94084,0.00029737,0.00029737,0.00029737
14,250.611,1.66569,1.53833,1.60451,0.54222,0.3033,0.32795,0.13995,2.1917,2.05468,1.97408,0.000296915,0.000296915,0.000296915
15,267.762,1.62543,1.49341,1.60367,0.57139,0.25068,0.30785,0.1169,2.12318,2.52943,1.99473,0.000296424,0.000296424,0.000296424
16,284.797,1.59448,1.45311,1.5832,0.5013,0.37087,0.35121,0.15542,2.10037,2.45685,2.01189,0.000295897,0.000295897,0.000295897
17,301.926,1.63639,1.44082,1.6087,0.52704,0.2686,0.28665,0.12698,2.09053,2.47582,1.9564,0.000295335,0.000295335,0.000295335
18,318.904,1.58693,1.34639,1.55577,0.45504,0.34899,0.35115,0.14874,2.15589,2.315,2.06244,0.000294737,0.000294737,0.000294737
19,335.782,1.55836,1.39815,1.53836,0.46637,0.36737,0.33882,0.14779,2.10236,2.64469,2.03852,0.000294104,0.000294104,0.000294104
20,352.726,1.55685,1.35407,1.56227,0.39895,0.40549,0.33099,0.1383,2.2205,2.33601,2.03304,0.000293435,0.000293435,0.000293435
